rooms,parcing_space,layout,price,balcony,bathroom,living,apartment_condition,author,building_type,housing_stock,developer,total_floors,floor,region,city,sector,street,area
1-комнатная квартира,Подземная,,81900.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,Braus Imobiliare,10,4.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti 140/1,58
2-х комнатная квартира,,,97700.0,1,1,,Eвроремонт,Частное лицо,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Andrei Doga 45/1,54
2-х комнатная квартира,Oткрытое,,149500.0,2,1,,,Частное лицо,,Новострой,Varicom,16,12.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grădina Botanică 20/1,71
2-х комнатная квартира,,,87010.0,,2,,Незавершенное cтроительство,Застройщик,,Новострой,,9,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24/a,79
1-комнатная квартира,,,71000.0,,,,Eвроремонт,Агентство,,Вторичный,,5,1.0,Кишинёв мун.,Кишинёв,Буюканы,str. Doina și Ion Aldea-Teodorovici 8,30
1-комнатная квартира,Подземная,,79900.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,Exfactor-grup,9,8.0,Кишинёв мун.,Кишинёв,Ботаника,bd. Dacia 62,51
1-комнатная квартира,,Индивидуальная,48000.0,1,1,Квартира с ливингом,Белый вариант,Частное лицо,,Новострой,Estate Invest Company,12,1.0,Кишинёв мун.,Кишинёв,Телецентр,str. Alexandru Lăpușneanu 5,48
2-х комнатная квартира,Oткрытое,,125000.0,,1,Квартира с ливингом,Eвроремонт,Агентство,,Новострой,,5,4.0,Расположение,,,,63
2-х комнатная квартира,,,125000.0,1,1,,Eвроремонт,Агентство,,Новострой,,16,15.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 114/2,68
2-х комнатная квартира,,,7912383440.0,,,Квартира с ливингом,Незавершенное cтроительство,Застройщик,,Новострой,Solomon Construct Imobil,9,5.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24a,72
1-комнатная квартира,,,69000.0,,,,,Застройщик,,Новострой,,18,9.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti 90,42
1-комнатная квартира,,,69000.0,,,,,Застройщик,,Новострой,Sky House,18,9.0,Кишинёв мун.,Кишинёв,Ботаника,şos. Munceşti 90,42
1-комнатная квартира,,,55420.0,,,Квартира с ливингом,Белый вариант,Агентство,Kирпичный,Новострой,Lagmar Impex,12,8.0,Кишинёв мун.,Кишинёв,Старая Почта,str. Ceucari 11/1,37
3-х комнатная квартира,Подземная,,103700.0,2,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,Braus Imobiliare,10,4.0,Кишинёв мун.,Кишинёв,Телецентр,sos. Hincesti 140/1,74
2-х комнатная квартира,,,136000.0,1,1,,Белый вариант,Застройщик,,Новострой,Exfactor-grup,13,12.0,Кишинёв мун.,Кишинёв,Буюканы,str. Vasile Lupu 28,68
2-х комнатная квартира,,,101900.0,1,1,,Eвроремонт,Агентство,Kотельцовый,Вторичный,,5,2.0,Кишинёв мун.,Кишинёв,Ботаника,str. Căușeni 3,75
1-комнатная квартира,,,62000.0,,,Квартира с ливингом,Белый вариант,Агентство,Kирпичный,Новострой,Lagmar Impex,14,7.0,Кишинёв мун.,Кишинёв,Рышкановка,str. Tudor Vladimirescu 18,46
2-х комнатная квартира,,,108900.0,1,1,,Белый вариант,Агентство,,Новострой,,16,9.0,Кишинёв мун.,Кишинёв,Ботаника,str. Burebista 114/2,68
3-х комнатная квартира,,,130500.0,,,,,Застройщик,,Новострой,Solomon Construct Imobil,12,5.0,Кишинёв мун.,Кишинёв,Ботаника,str. Grenoble 134/4,87
2-х комнатная квартира,Подземная,,208170.0,1,2,Квартира с ливингом,Белый вариант,Застройщик,Kирпичный,Новострой,Braus Imobiliare,4,1.0,Кишинёв мун.,Кишинёв,Рышкановка,ул. Чиркулуй 61,77
2-х комнатная квартира,,,137000.0,1,2,,Eвроремонт,Частное лицо,,Новострой,Solomon Construct Imobil,11,2.0,Кишинёв мун.,Кишинёв,Чокана,bd. Mircea cel Bătrân 35/E,55
2-х комнатная квартира,Подземная,,179900.0,,1,Квартира с ливингом,,Агентство,,Новострой,,14,4.0,Кишинёв мун.,Кишинёв,Центр,Nicolae Testimiteanu  19,64
1-комнатная квартира,,,77999.0,,,,Сдан в эксплуатацию,Частное лицо,,Новострой,,16,9.0,Кишинёв мун.,Кишинёв,Чокана,str. Ginta Latina 8,53
3-х комнатная квартира,,,100300.0,2,2,,Незавершенное cтроительство,Застройщик,,Новострой,Boiar House,10,9.0,Кишинёв мун.,Дурлешты,Центр,str. Nicolae Dimo 24/B,100
